Variable,coef,HR,IC95_lo,IC95_hi,se,z,p,n,events,p_fmt,sig
IgG basal,-0.2659,0.766,0.591,0.994,0.1327,-2.004,0.04507444210400546,30,19,0.045,*
Inmunodeprimido,-0.6126,0.542,0.108,2.711,0.8213,-0.746,0.45577544498786926,30,19,0.456,
Eosinófilos basales,0.0084,1.008,0.622,1.635,0.2465,0.034,0.9728200265292342,30,19,0.973,
Edad,0.0002,1.0,0.954,1.048,0.0239,0.008,0.9938489467952234,30,19,0.994,
