Parameter,Coefficient,SE,t_value,p_value
Intercepto (β₀),0.7860785563525658,0.16338662063160642,4.811156221444625,5.1495886863595075e-06
Mes (β₁: pendiente media),-0.04136024809498102,0.008554140302669497,-4.835114533026036,4.669032385162808e-06
Sexo varón (β₂),-0.1715057200052134,0.23767140226812938,-0.72160856699002,0.47217009793468345
Inmunodeprimido (β₃),-1.0482985906727689,0.5870384109711236,-1.785741053875152,0.07708407140805806
Mes × Sexo varón (β₄),-0.0008701038868979292,0.01687631922479168,-0.05155768122824601,0.9589809966537644
Mes × Inmunodep (β₅),0.041357869593987046,0.061645886015998984,0.6708942358822358,0.5037895877204823
