Variable,HR_original,p_original,N_original,HR_imputed,p_imputed,N_imputed
IgG basal,0.7664856434918855,0.04507444210400546,30,0.817402379235179,0.0647621152836999,38
Inmunodeprimido,0.5419516945190911,0.45577544498786926,30,0.5017351981252908,0.26140135385928653,38
Eosinófilos,1.0084332575775117,0.9728200265292342,30,0.9897072971256413,0.9675830748161725,38
Edad,1.000183964502033,0.9938489467952234,30,0.9956541382323189,0.8341811734898812,38
